l1,l2,l3
6987,Atlantic_Dry,AF
7006,Bahia_Interior,AF
7012,Bahia_Interior,AF
7019,Bahia_Interior,AF
7022,Serra_do_Mar,AF
7023,Serra_do_Mar,AF
7025,Serra_do_Mar,AF
7129,Bahia_Interior,AF
7133,Bahia_Interior,AF
7139,Bahia_Interior,AF
7140,Bahia_Interior,AF
7143,Bahia_Interior,AF
7145,Bahia_Interior,AF
7146,Serra_do_Mar,AF
7147,Serra_do_Mar,AF
7148,Mangroves,AF
7149,Serra_do_Mar,AF
7225,Atlantic_Dry,AF
7233,Atlantic_Dry,AF
7241,Bahia_Interior,AF
7243,Bahia_Interior,AF
7244,Bahia_Interior,AF
7245,Bahia_Interior,AF
7253,Bahia_Interior,AF
7257,Bahia_Interior,AF
7260,Bahia_Interior,AF
7262,Bahia_Interior,AF
7263,Bahia_Interior,AF
7264,Bahia_Interior,AF
7269,Alto_Parana,AF
7270,Serra_do_Mar,AF
7271,Serra_do_Mar,AF
7361,Atlantic_Dry,AF
7366,Bahia_Interior,AF
7368,Bahia_Interior,AF
7379,Bahia_Interior,AF
7381,Bahia_Interior,AF
7388,Bahia_Interior,AF
7389,Bahia_Interior,AF
7393,Alto_Parana,AF
7394,Serra_do_Mar,AF
7395,Serra_do_Mar,AF
7483,Atlantic_Dry,AF
7508,Bahia_Interior,AF
7509,Bahia_Interior,AF
7512,Bahia_Interior,AF
7519,Serra_do_Mar,AF
7607,Atlantic_Dry,AF
7608,Atlantic_Dry,AF
7619,Bahia_Interior,AF
7635,Bahia_Interior,AF
7636,Bahia_Interior,AF
7639,Bahia_Interior,AF
7640,Serra_do_Mar,AF
7641,Serra_do_Mar,AF
7748,Bahia_Interior,AF
7751,Bahia_Interior,AF
7755,Bahia_Interior,AF
7756,Bahia_Interior,AF
7757,Bahia_Coastal,AF
7759,Bahia_Interior,AF
7760,Bahia_Interior,AF
7761,Bahia_Interior,AF
7763,Bahia_Interior,AF
7764,Alto_Parana,AF
7849,Atlantic_Dry,AF
7851,Atlantic_Dry,AF
7852,Atlantic_Dry,AF
7853,Atlantic_Dry,AF
7865,Bahia_Interior,AF
7878,Bahia_Interior,AF
7879,Bahia_Interior,AF
7882,Bahia_Coastal,AF
7883,Bahia_Coastal,AF
7884,Bahia_Interior,AF
7885,Bahia_Interior,AF
7886,Bahia_Interior,AF
7887,Bahia_Interior,AF
7888,Alto_Parana,AF
7973,Atlantic_Dry,AF
7977,Atlantic_Dry,AF
7979,Atlantic_Dry,AF
7984,Bahia_Interior,AF
7990,Bahia_Interior,AF
7991,Bahia_Interior,AF
7996,Bahia_Interior,AF
7997,Bahia_Interior,AF
7999,Bahia_Coastal,AF
8003,Bahia_Interior,AF
8005,Bahia_Coastal,AF
8006,Bahia_Coastal,AF
8007,Bahia_Coastal,AF
8008,Bahia_Interior,AF
8009,Bahia_Interior,AF
8010,Bahia_Interior,AF
8094,Atlantic_Dry,AF
8096,Atlantic_Dry,AF
8107,Bahia_Interior,AF
8109,Bahia_Interior,AF
8113,Bahia_Interior,AF
8120,Bahia_Interior,AF
8121,Bahia_Interior,AF
8123,Bahia_Coastal,AF
8124,Bahia_Interior,AF
8126,Bahia_Interior,AF
8128,Bahia_Interior,AF
8129,Bahia_Coastal,AF
8130,Bahia_Coastal,AF
8131,Bahia_Coastal,AF
8132,Bahia_Coastal,AF
8134,Bahia_Interior,AF
8219,Atlantic_Dry,AF
8233,Bahia_Coastal,AF
8238,Bahia_Interior,AF
8244,Bahia_Interior,AF
8248,Bahia_Coastal,AF
8249,Bahia_Interior,AF
8250,Bahia_Interior,AF
8251,Bahia_Interior,AF
8252,Bahia_Coastal,AF
8253,Bahia_Coastal,AF
8254,Bahia_Coastal,AF
8255,Bahia_Coastal,AF
8256,Bahia_Coastal,AF
8257,Bahia_Interior,AF
8342,Atlantic_Dry,AF
8343,Atlantic_Dry,AF
8347,Atlantic_Dry,AF
8351,Bahia_Interior,AF
8352,Bahia_Interior,AF
8360,Bahia_Interior,AF
8363,Bahia_Interior,AF
8367,Bahia_Coastal,AF
8372,Bahia_Coastal,AF
8374,Bahia_Coastal,AF
8375,Bahia_Coastal,AF
8376,Bahia_Coastal,AF
8377,Bahia_Coastal,AF
8378,Bahia_Coastal,AF
8379,Bahia_Coastal,AF
8380,Bahia_Coastal,AF
8476,Bahia_Interior,AF
8477,Bahia_Interior,AF
8479,Bahia_Coastal,AF
8485,Bahia_Interior,AF
8486,Bahia_Interior,AF
8487,Bahia_Interior,AF
8488,Bahia_Interior,AF
8493,Bahia_Coastal,AF
8495,Bahia_Coastal,AF
8497,Bahia_Coastal,AF
8498,Bahia_Coastal,AF
8499,Bahia_Coastal,AF
8597,Bahia_Interior,AF
8598,Bahia_Interior,AF
8610,Bahia_Coastal,AF
8611,Bahia_Coastal,AF
8612,Bahia_Coastal,AF
8619,Bahia_Coastal,AF
8622,Bahia_Coastal,AF
8723,Bahia_Coastal,AF
8724,Bahia_Coastal,AF
8725,Bahia_Coastal,AF
8728,Bahia_Coastal,AF
8729,Bahia_Interior,AF
8730,Bahia_Coastal,AF
8731,Bahia_Coastal,AF
8735,Bahia_Coastal,AF
8739,Bahia_Coastal,AF
8743,Mangroves,AF
8744,Mangroves,AF
8841,Bahia_Interior,AF
8842,Bahia_Interior,AF
8844,Bahia_Interior,AF
8845,Bahia_Coastal,AF
8848,Bahia_Coastal,AF
8849,Bahia_Coastal,AF
8850,Bahia_Coastal,AF
8852,Bahia_Coastal,AF
8853,Bahia_Coastal,AF
8854,Bahia_Coastal,AF
8855,Bahia_Coastal,AF
8857,Bahia_Coastal,AF
8862,Bahia_Coastal,AF
8966,Bahia_Interior,AF
8967,Bahia_Interior,AF
8968,Bahia_Interior,AF
8972,Bahia_Coastal,AF
8973,Bahia_Coastal,AF
8974,Bahia_Coastal,AF
8975,Bahia_Coastal,AF
8976,Bahia_Coastal,AF
8977,Bahia_Coastal,AF
8978,Bahia_Coastal,AF
8979,Bahia_Coastal,AF
8982,Bahia_Coastal,AF
8983,Bahia_Coastal,AF
8985,Bahia_Coastal,AF
8986,Bahia_Coastal,AF
8987,Bahia_Coastal,AF
8988,Mangroves,AF
9089,Bahia_Interior,AF
9097,Restingas,AF
9098,Bahia_Coastal,AF
9099,Bahia_Coastal,AF
9104,Mangroves,AF
9106,Restingas,AF
9215,Bahia_Coastal,AF
9216,Mangroves,AF
9217,Mangroves,AF
9339,Bahia_Coastal,AF
9340,Bahia_Coastal,AF
