id,local,value
2833,Alto_Parana,dup
2833,Araucaria,dup
2834,Alto_Parana,dup
2834,Araucaria,dup
2835,Alto_Parana,unique
2836,Alto_Parana,unique
2837,Alto_Parana,unique
2910,Alto_Parana,unique
2922,Alto_Parana,unique
2923,Alto_Parana,unique
2924,Alto_Parana,unique
2925,Alto_Parana,unique
2926,Alto_Parana,unique
2927,Alto_Parana,unique
2928,Alto_Parana,unique
2929,Alto_Parana,unique
2930,Alto_Parana,unique
2931,Alto_Parana,unique
2932,Alto_Parana,unique
2933,Alto_Parana,unique
2934,Alto_Parana,unique
2935,Alto_Parana,unique
2936,Alto_Parana,dup
2936,Araucaria,dup
2937,Alto_Parana,dup
2937,Araucaria,dup
2938,Alto_Parana,dup
2938,Araucaria,dup
2939,Araucaria,unique
2940,Araucaria,unique
2941,Araucaria,unique
2942,Araucaria,unique
2943,Araucaria,unique
2944,Araucaria,unique
2945,Araucaria,unique
2946,Araucaria,unique
2947,Araucaria,unique
2948,Araucaria,unique
2949,Araucaria,unique
2950,Araucaria,unique
2951,Araucaria,unique
2952,Araucaria,unique
2953,Araucaria,unique
2954,Araucaria,unique
2955,Araucaria,unique
2956,Alto_Parana,dup
2956,Araucaria,dup
2957,Alto_Parana,dup
2957,Araucaria,dup
2958,Alto_Parana,dup
2958,Araucaria,dup
2959,Alto_Parana,dup
2959,Araucaria,dup
2960,Alto_Parana,unique
3032,Alto_Parana,unique
3033,Alto_Parana,unique
3034,Alto_Parana,unique
3036,Alto_Parana,unique
3039,Alto_Parana,unique
3040,Alto_Parana,unique
3041,Alto_Parana,unique
3043,Alto_Parana,unique
3044,Alto_Parana,unique
3045,Alto_Parana,unique
3046,Alto_Parana,unique
3047,Alto_Parana,unique
3048,Alto_Parana,unique
3049,Alto_Parana,unique
3050,Alto_Parana,unique
3051,Alto_Parana,unique
3052,Alto_Parana,unique
3053,Alto_Parana,unique
3054,Alto_Parana,unique
3055,Alto_Parana,unique
3056,Alto_Parana,unique
3057,Alto_Parana,unique
3058,Alto_Parana,unique
3059,Alto_Parana,unique
3060,Alto_Parana,dup
3060,Araucaria,dup
3061,Araucaria,unique
3062,Araucaria,unique
3063,Araucaria,unique
3064,Araucaria,unique
3065,Araucaria,unique
3066,Araucaria,unique
3067,Araucaria,unique
3068,Araucaria,unique
3069,Araucaria,unique
3070,Araucaria,unique
3071,Araucaria,unique
3072,Araucaria,unique
3073,Araucaria,unique
3074,Araucaria,unique
3075,Araucaria,unique
3076,Araucaria,unique
3077,Araucaria,unique
3078,Araucaria,unique
3079,Araucaria,unique
3080,Alto_Parana,dup
3080,Araucaria,dup
3081,Alto_Parana,dup
3081,Araucaria,dup
3082,Alto_Parana,dup
3082,Araucaria,dup
3083,Alto_Parana,unique
3084,Alto_Parana,unique
3153,Alto_Parana,unique
3154,Alto_Parana,unique
3156,Alto_Parana,unique
3157,Alto_Parana,unique
3158,Alto_Parana,unique
3159,Alto_Parana,unique
3160,Alto_Parana,unique
3163,Alto_Parana,unique
3164,Alto_Parana,unique
3165,Alto_Parana,unique
3166,Alto_Parana,unique
3167,Alto_Parana,unique
3168,Alto_Parana,unique
3169,Alto_Parana,unique
3170,Alto_Parana,unique
3171,Alto_Parana,unique
3172,Alto_Parana,unique
3173,Alto_Parana,unique
3174,Alto_Parana,unique
3175,Alto_Parana,unique
3176,Alto_Parana,unique
3177,Alto_Parana,unique
3178,Alto_Parana,unique
3179,Alto_Parana,unique
3180,Alto_Parana,unique
3181,Alto_Parana,unique
3182,Alto_Parana,unique
3183,Alto_Parana,unique
3184,Alto_Parana,dup
3184,Araucaria,dup
3185,Araucaria,unique
3186,Araucaria,unique
3187,Araucaria,unique
3188,Araucaria,unique
3189,Araucaria,unique
3190,Araucaria,unique
3191,Araucaria,unique
3192,Araucaria,unique
3193,Araucaria,unique
3194,Araucaria,unique
3195,Araucaria,unique
3196,Araucaria,unique
3197,Araucaria,unique
3198,Araucaria,unique
3199,Araucaria,unique
3200,Araucaria,unique
3201,Araucaria,unique
3202,Araucaria,unique
3203,Araucaria,unique
3204,Alto_Parana,dup
3204,Araucaria,dup
3205,Alto_Parana,dup
3205,Araucaria,dup
3206,Alto_Parana,dup
3206,Araucaria,dup
3207,Alto_Parana,dup
3207,Araucaria,dup
3208,Alto_Parana,unique
3209,Alto_Parana,unique
3213,Restingas,unique
3214,Restingas,unique
3277,Alto_Parana,unique
3278,Alto_Parana,unique
3279,Alto_Parana,unique
3280,Alto_Parana,unique
3281,Alto_Parana,unique
3283,Alto_Parana,unique
3284,Alto_Parana,unique
3287,Alto_Parana,unique
3288,Alto_Parana,unique
3289,Alto_Parana,unique
3290,Alto_Parana,unique
3291,Alto_Parana,unique
3292,Alto_Parana,unique
3293,Alto_Parana,unique
3294,Alto_Parana,unique
3295,Alto_Parana,unique
3296,Alto_Parana,unique
3297,Alto_Parana,unique
3298,Alto_Parana,unique
3299,Alto_Parana,unique
3300,Alto_Parana,unique
3301,Alto_Parana,unique
3302,Alto_Parana,unique
3303,Alto_Parana,unique
3304,Alto_Parana,unique
3305,Alto_Parana,unique
3306,Alto_Parana,unique
3307,Alto_Parana,dup
3307,Araucaria,dup
3308,Alto_Parana,dup
3308,Araucaria,dup
3309,Araucaria,unique
3310,Araucaria,unique
3311,Araucaria,unique
3312,Araucaria,unique
3313,Araucaria,unique
3314,Araucaria,unique
3315,Araucaria,unique
3316,Araucaria,unique
3317,Araucaria,unique
3318,Araucaria,unique
3319,Araucaria,unique
3320,Araucaria,unique
3321,Araucaria,unique
3322,Araucaria,unique
3323,Araucaria,unique
3324,Araucaria,unique
3325,Araucaria,unique
3326,Araucaria,unique
3327,Araucaria,unique
3328,Araucaria,unique
3329,Araucaria,unique
3330,Araucaria,unique
3331,Alto_Parana,dup
3331,Araucaria,dup
3332,Alto_Parana,unique
3333,Alto_Parana,unique
3336,Restingas,unique
3337,Restingas,unique
3338,Restingas,unique
3401,Alto_Parana,unique
3402,Alto_Parana,unique
3403,Alto_Parana,unique
3404,Alto_Parana,unique
3405,Alto_Parana,unique
3407,Alto_Parana,unique
3408,Alto_Parana,unique
3410,Alto_Parana,unique
3411,Alto_Parana,unique
3412,Alto_Parana,unique
3413,Alto_Parana,unique
3414,Alto_Parana,unique
3416,Alto_Parana,unique
3417,Alto_Parana,unique
3418,Alto_Parana,unique
3419,Alto_Parana,unique
3420,Alto_Parana,unique
3421,Alto_Parana,unique
3422,Alto_Parana,unique
3423,Alto_Parana,unique
3424,Alto_Parana,unique
3425,Alto_Parana,unique
3426,Alto_Parana,unique
3427,Alto_Parana,unique
3428,Alto_Parana,unique
3429,Alto_Parana,unique
3430,Alto_Parana,unique
3431,Alto_Parana,unique
3432,Alto_Parana,dup
3432,Araucaria,dup
3433,Alto_Parana,dup
3433,Araucaria,dup
3434,Araucaria,unique
3435,Araucaria,unique
3436,Araucaria,unique
3437,Araucaria,unique
3438,Araucaria,unique
3439,Araucaria,unique
3440,Araucaria,unique
