l1,l2,l3
3547,Alto_Parana,AF
3555,Alto_Parana,AF
3556,Alto_Parana,AF
3558,Araucaria,AF
3559,Araucaria,AF
3560,Araucaria,AF
3561,Araucaria,AF
3562,Araucaria,AF
3563,Araucaria,AF
3564,Araucaria,AF
3565,Araucaria,AF
3566,Araucaria,AF
3567,Araucaria,AF
3568,Araucaria,AF
3569,Serra_do_Mar,AF
3570,Araucaria,AF
3571,Araucaria,AF
3572,Araucaria,AF
3573,Araucaria,AF
3574,Araucaria,AF
3575,Araucaria,AF
3576,Araucaria,AF
3577,Araucaria,AF
3578,Araucaria,AF
3579,Araucaria,AF
3580,Serra_do_Mar,AF
3581,Restingas,AF
3582,Restingas,AF
3646,Alto_Parana,AF
3649,Alto_Parana,AF
3663,Alto_Parana,AF
3665,Alto_Parana,AF
3666,Alto_Parana,AF
3668,Alto_Parana,AF
3669,Alto_Parana,AF
3670,Alto_Parana,AF
3671,Alto_Parana,AF
3674,Alto_Parana,AF
3677,Alto_Parana,AF
3678,Alto_Parana,AF
3680,Alto_Parana,AF
3681,Araucaria,AF
3682,Araucaria,AF
3683,Araucaria,AF
3684,Araucaria,AF
3685,Araucaria,AF
3686,Araucaria,AF
3687,Araucaria,AF
3689,Araucaria,AF
3690,Araucaria,AF
3691,Serra_do_Mar,AF
3692,Araucaria,AF
3693,Serra_do_Mar,AF
3694,Serra_do_Mar,AF
3695,Araucaria,AF
3696,Araucaria,AF
3697,Araucaria,AF
3698,Araucaria,AF
3699,Araucaria,AF
3700,Araucaria,AF
3701,Araucaria,AF
3702,Serra_do_Mar,AF
3703,Serra_do_Mar,AF
3704,Restingas,AF
3771,Alto_Parana,AF
3773,Alto_Parana,AF
3789,Alto_Parana,AF
3790,Alto_Parana,AF
3792,Alto_Parana,AF
3793,Alto_Parana,AF
3794,Alto_Parana,AF
3798,Alto_Parana,AF
3799,Alto_Parana,AF
3800,Alto_Parana,AF
3802,Alto_Parana,AF
3803,Alto_Parana,AF
3805,Araucaria,AF
3806,Araucaria,AF
3807,Araucaria,AF
3808,Araucaria,AF
3809,Araucaria,AF
3810,Araucaria,AF
3811,Araucaria,AF
3812,Araucaria,AF
3813,Araucaria,AF
3814,Araucaria,AF
3815,Araucaria,AF
3816,Serra_do_Mar,AF
3817,Serra_do_Mar,AF
3818,Serra_do_Mar,AF
3819,Serra_do_Mar,AF
3820,Araucaria,AF
3821,Araucaria,AF
3822,Araucaria,AF
3823,Araucaria,AF
3824,Serra_do_Mar,AF
3825,Serra_do_Mar,AF
3826,Restingas,AF
3827,Restingas,AF
3898,Alto_Parana,AF
3900,Alto_Parana,AF
3904,Alto_Parana,AF
3905,Alto_Parana,AF
3911,Alto_Parana,AF
3913,Alto_Parana,AF
3914,Alto_Parana,AF
3915,Alto_Parana,AF
3916,Alto_Parana,AF
3917,Alto_Parana,AF
3918,Alto_Parana,AF
3926,Alto_Parana,AF
3927,Alto_Parana,AF
3929,Araucaria,AF
3930,Araucaria,AF
3931,Araucaria,AF
3932,Araucaria,AF
3933,Araucaria,AF
3934,Araucaria,AF
3935,Araucaria,AF
3936,Araucaria,AF
3937,Araucaria,AF
3938,Araucaria,AF
3939,Araucaria,AF
3940,Serra_do_Mar,AF
3941,Serra_do_Mar,AF
3942,Serra_do_Mar,AF
3943,Serra_do_Mar,AF
3944,Araucaria,AF
3945,Araucaria,AF
3946,Araucaria,AF
3947,Serra_do_Mar,AF
3948,Serra_do_Mar,AF
3949,Restingas,AF
